companyName,title,min_years,max_years,location,work_from_home,femaleCandidate,differentlyAbled,exDefence
Ilantus Technologies Pvt Ltd,Ilantus Technologies - DevOps Manager - Shell Scripting/PowerShell (7-8 yrs),7,8,Bangalore,0,0,0,0
Zyoin Web Private Limited,.Net Full Stack Developer - ASP/MVC/AngularJS (2-5 yrs),2,5,Hyderabad,0,0,0,0
V2Soft Pvt Ltd,Senior Java Developer - Spring Boot/Hibernate (5-7 yrs),5,7,Bangalore,0,0,0,0
Aexonic Technologies Private Limited,Aexonic - Senior Node.js Developer (5-10 yrs),5,10,Anywhere in India/Multiple Locations,0,0,0,0
iMind Your Business Solutions Private Limited,Software Engineer - Java/AWS/Microservices Architecture (2-4 yrs),2,4,Bangalore,0,0,0,0
Aliqan Services Private Limited,Java Lead - Spring Boot/Microservices Architecture (10-12 yrs),10,12,Anywhere in India/Multiple Locations,1,0,0,0
Alexia Consulting Service LLP,SAP FICO Lead - E2E Implementation (8-15 yrs),8,15,Bangalore,0,1,0,0
Trangie Services,Oracle Retail Consultant - RMS/ReSA Module (5-10 yrs),5,10,Noida,0,0,0,0
Alexia Consulting Service LLP,SAP CPI Consultant - Implementation & Support (4-7 yrs),4,7,Bangalore,0,1,0,0
Growel Softech Pvt. Ltd.,Functional Consultant - SAP SD Module (6-7 yrs),6,7,Bangalore,0,0,0,0
Growel Softech Pvt. Ltd.,SAP WM/MM Consultant - Implementation & Support (6-8 yrs),6,8,Bangalore,0,0,0,0
Asindia Network,Oracle Eloqua Consultant - Marketing Automation (5-7 yrs),5,7,Anywhere in India/Multiple Locations,0,0,0,0
Analytics Saves At Work India Pvt Ltd.,Analytics Saves At Work - Data Architect - On-Prem & Cloud Solutions (7-11 yrs),7,11,Bangalore,0,0,0,0
Appmocx,Appmocx - Snaplogic Developer - Cloud Infrastructure (7-10 yrs),7,10,"Pune,Gurgaon/Gurugram",0,1,0,0
ManekTech,DevOps Engineer - Azure/Shell Scripting (4-6 yrs),4,6,"Ahmedabad,Gujarat",0,0,0,0
Strategic HR Solutions,ServiceNow Architect - ITBM/ITSM Module (8-12 yrs),8,12,"Hyderabad,Pune,Chennai,Bangalore",0,0,0,0
Algoleap Technologies,AlgoLeap - Salesforce Developer - Apex/Visual Force (5-12 yrs),5,12,Hyderabad,0,0,0,0
Career Makers,Senior Manager/Operations Research Scientist - Machine Learning/Algorithm (5-15 yrs),5,15,Bangalore,0,0,0,0
Maropost,Senior Software Engineer - Ruby on Rails (7-10 yrs),7,10,Others,0,0,0,0
Shreeniwas,Junior Full Stack Developer - .Net/AngularJS (2-4 yrs),2,4,Chennai,0,0,0,0
Equabli India Private Limited,Equabli - Senior Java Developer - Spring/Hibernate (5-6 yrs),5,6,Anywhere in India/Multiple Locations,1,0,0,0
USM Business Systems,USM Business Systems - MERN Stack Developer - React.js/MongoDB (2-5 yrs),2,5,MP,0,1,0,0
HOUSR TECHNOLOGIES PRIVATE LIMITED,Housr - Backend Developer - Python/Django (1-3 yrs),1,3,Gurgaon/Gurugram,0,0,0,0
NetConnect Private Limited,Senior SAP ABAP Consultant - Support & Implementation (5-10 yrs),5,10,Bangalore,1,1,1,1
Abhiyanta India Solutions Pvt .Ltd,Abhiyanta India Solutions - SAP BPC Consultant - BI/ECC Module (5-10 yrs),5,10,"Pune,Mumbai,Bangalore,Noida",0,0,0,0
Abhiyanta India Solutions Pvt .Ltd,Abhiyanta India Solutions - SAP Consultant - EWM Module (6-10 yrs),6,10,"Pune,Mumbai,Bangalore,Noida",0,0,0,0
ANVETA MANPOWER SOLUTIONS PRIVATE LIMITED,Oracle Cloud Application Consultant - Support & Implementation (5-7 yrs),5,7,Anywhere in India/Multiple Locations,0,0,0,0
NetConnect Private Limited,SAP Basis HANA Database Engineer - Support & Implementation (4-6 yrs),4,6,"Pune,Bangalore",1,1,1,1
